Sales Order;Delivery Note;Invoice;Posting Date;Due Date;Customer;Qty;UOM;Territory;Sales Term;Sales Person;Grand Total
SO/2013/01044;DN/2013/01069;INV/2013/01060;2013-06-04;2013-06-25;Rizky Marendal 1;500;Sak 40kg;Medan;S Terms TOP 21 Day;9;20500000.02
SO/2013/01058;DN/2013/01065;INV/2013/01056;2013-06-04;2013-06-25;Harapan Baru Simalungun 1;625;Sak 40kg;Sibatopasa;S Terms TOP 21 Day;11;28125000.01
SO/2013/01062;DN/2013/01071;INV/2013/01062;2013-06-04;2013-06-18;Linsa Pangururan 1;500;Sak 40kg;Sibatopasa;S Terms TOP 14 Day;8;22500000.01
SO/2013/01072;DN/2013/01075;INV/2013/01066;2013-06-04;2013-06-18;EPG Sukses Medan 1;500;Sak 40kg;Medan;S Terms TOP 14 Day;9;20250000.1
SO/2013/01078;DN/2013/01066;INV/2013/01057;2013-06-04;2013-06-03;Utama Bangunan Batubara 1;500;Sak 40kg;Serkibata;DO Terms;8;19750000.02
SO/2013/01079;DN/2013/01072;INV/2013/01063;2013-06-04;2013-06-03;Utama Bangunan Batubara 1;500;Sak 40kg;Serkibata;DO Terms;8;19750000
SO/2013/01080;DN/2013/01076;INV/2013/01067;2013-06-04;2013-06-18;Reyeni Aeknabara 1;625;Sak 40kg;Rapakoba;S Terms TOP 14 Day;11;24375000.02
SO/2013/01081;DN/2013/01078;INV/2013/01069;2013-06-04;2013-06-25;Raja Pas Bangunan Rantau Prapat 1;625;Sak 40kg;Rapakoba;S Terms TOP 21 Day;11;26718750.24
SO/2013/01082;DN/2013/01070;INV/2013/01061;2013-06-04;2013-06-18;Tri V Jaya Tanjung Morawa 1;500;Sak 40kg;Tatemlukam;S Terms TOP 14 Day;10;20250000.1
SO/2013/01083;DN/2013/01068;INV/2013/01059;2013-06-04;2013-06-25;Maja Agung Galang 1;500;Sak 40kg;Tatemlukam;S Terms TOP 21 Day;10;20625000.14
SO/2013/01084;DN/2013/01073;INV/2013/01064;2013-06-04;2013-06-25;Mutiara Pantai Batubara 1;500;Sak 40kg;Serkibata;S Terms TOP 21 Day;8;20375000.09
SO/2013/01085;DN/2013/01074;INV/2013/01065;2013-06-04;2013-06-18;Medan Jaya Medan 1;500;Sak 40kg;Medan;S Terms TOP 14 Day;9;20250000.1
SO/2013/01086;DN/2013/01080;INV/2013/01071;2013-06-04;2013-06-18;Obor Siantar 1;500;Sak 40kg;Sibatopasa;S Terms TOP 14 Day;8;20250000.01
SO/2013/01087;DN/2013/01077;INV/2013/01068;2013-06-04;2013-06-18;Dunia Co Kisaran 1;500;Sak 40kg;Serkibata;S Terms TOP 14 Day;8;20250000.01
SO/2013/01088;DN/2013/01079;INV/2013/01070;2013-06-04;2013-06-03;Kencana Agung Johor 1;500;Sak 40kg;Medan;DO Terms;9;19900000.08
SO/2013/01089;DN/2013/01081;INV/2013/01072;2013-06-05;2013-06-26;Harapan Baru Simalungun 1;625;Sak 40kg;Sibatopasa;S Terms TOP 21 Day;11;28125000.01
SO/2013/01090;DN/2013/01082;INV/2013/01073;2013-06-05;2013-06-19;Tetap Jaya Kisaran 1;500;Sak 40kg;Serkibata;S Terms TOP 14 Day;8;20250000.01
SO/2013/01091;DN/2013/01083;INV/2013/01074;2013-06-05;2013-06-19;Indomas Kisaran 1;500;Sak 40kg;Serkibata;S Terms TOP 14 Day;8;20250000.01
SO/2013/01092;DN/2013/01088;INV/2013/01079;2013-06-05;2013-06-04;Utama Bangunan Batubara 1;500;Sak 40kg;Serkibata;DO Terms;8;19750000
SO/2013/01095;DN/2013/01085;INV/2013/01076;2013-06-05;2013-06-04;Deli Kencana Batubara 1;500;Sak 40kg;Serkibata;DO Terms;8;20250000.14
SO/2013/01096;DN/2013/01091;INV/2013/01082;2013-06-05;2013-06-19;Sinar Mulia Tanjung Balai 1;500;Sak 40kg;Serkibata;S Terms TOP 14 Day;8;20250000.03
SO/2013/01097;DN/2013/01092;INV/2013/01083;2013-06-05;2013-06-04;Utama Bangunan Batubara 1;500;Sak 40kg;Serkibata;DO Terms;8;19750000
SO/2013/01098;DN/2013/01086;INV/2013/01077;2013-06-05;2013-06-19;Karunia Jaya Bahagia 1;500;Sak 40kg;Medan;S Terms TOP 14 Day;9;20375000.16
SO/2013/01099;DN/2013/01089;INV/2013/01080;2013-06-05;2013-06-19;Simalungun Traso Siantar 1;500;Sak 40kg;Sibatopasa;S Terms TOP 14 Day;8;20250000.01
SO/2013/01100;DN/2013/01090;INV/2013/01081;2013-06-05;2013-06-19;Obor Siantar 1;500;Sak 40kg;Sibatopasa;S Terms TOP 14 Day;8;20250000.01
SO/2013/01101;DN/2013/01084;INV/2013/01075;2013-06-05;2013-06-19;Merbau Siantar 1;500;Sak 40kg;Sibatopasa;S Terms TOP 14 Day;8;20250000.01
SO/2013/01103;DN/2013/01087;INV/2013/01078;2013-06-05;2013-06-04;Kencana Agung Johor 1;500;Sak 40kg;Medan;DO Terms;9;19900000.08
